blindId,symbol,side,confirmedAtUtc,confirmedAtUtc8,displayStartIndex,displayEndIndex,candleCount,futureBars,svgPath,svgSha256,reviewer_significance,reviewer_confidence,reviewer_primaryReason,reviewer_notes
BLIND-001,BTCUSDT,LOW,2026-07-04T00:09:59.999Z,2026-07-04 08:09,217,301,85,0,manual-review/BLIND-001.svg,df9b675d1564cb19d7cb925672769b3c0df8c85483c93c8a6b36dc1e6e0c3640,,,,
BLIND-002,BTCUSDT,HIGH,2026-07-04T18:34:59.999Z,2026-07-05 02:34,442,522,81,0,manual-review/BLIND-002.svg,e814696aca69aae507808f6c23cdcf9e66d78eef1d70b122befbdd62e4bc802b,,,,
BLIND-003,BTCUSDT,LOW,2026-07-04T19:24:59.999Z,2026-07-05 03:24,454,532,79,0,manual-review/BLIND-003.svg,d8ee248b017a2716af77ebc5ad264a4b9d09d1685976566fb94eac51f111bf88,,,,
BLIND-004,BTCUSDT,HIGH,2026-07-05T23:24:59.999Z,2026-07-06 07:24,795,868,74,0,manual-review/BLIND-004.svg,25e9035b700767b82d0f3874e9a7aabf3fce0d33ecb20e7c49afe56106695ea7,,,,
BLIND-005,BTCUSDT,LOW,2026-07-06T12:34:59.999Z,2026-07-06 20:34,949,1026,78,0,manual-review/BLIND-005.svg,fd965be505bcfdc476e9263b006d14cff7a0f14b331e25ad3eeb6e45fdfeb391,,,,
BLIND-006,BTCUSDT,LOW,2026-07-08T22:29:59.999Z,2026-07-09 06:29,1634,1721,88,0,manual-review/BLIND-006.svg,ddc9fa8f614cc3cbb340e6fd70a2f7bb884b2ef48714eaa2219090db2c9f180e,,,,
BLIND-007,BTCUSDT,HIGH,2026-07-09T09:44:59.999Z,2026-07-09 17:44,1761,1856,96,0,manual-review/BLIND-007.svg,a1cf7cbf337a72714623a9b3e7c66ba1803e058969f1a0b2d88645946d4d50ba,,,,
BLIND-008,BTCUSDT,HIGH,2026-07-10T06:29:59.999Z,2026-07-10 14:29,2024,2105,82,0,manual-review/BLIND-008.svg,9d98e18b898a6875ca129aee10fc665deff6b10a72dacca30ebede1ff8eedf8b,,,,
BLIND-009,BTCUSDT,HIGH,2026-07-10T12:59:59.999Z,2026-07-10 20:59,2102,2183,82,0,manual-review/BLIND-009.svg,2c8a9dbd354b4e463bf8a4780c6d8b35cb30fe3766af32276e586f3c3953cbea,,,,
BLIND-010,BTCUSDT,HIGH,2026-07-10T17:19:59.999Z,2026-07-11 01:19,2159,2235,77,0,manual-review/BLIND-010.svg,72344e93e12f3ac5d661ec943104de5ce81311052f77f9e87897466fe354b564,,,,
BLIND-011,BTCUSDT,HIGH,2026-07-11T01:59:59.999Z,2026-07-11 09:59,2260,2339,80,0,manual-review/BLIND-011.svg,76bd70edf13020625e3e62987a37b0e37363c0d2cd9199df809bae6fb8f7cbbd,,,,
BLIND-012,BTCUSDT,LOW,2026-07-14T02:49:59.999Z,2026-07-14 10:49,3137,3213,77,0,manual-review/BLIND-012.svg,2699024ac1cf718e82207d2f678398ba05fbcd50aa8be031b136282c98b467cd,,,,
BLIND-013,BTCUSDT,HIGH,2026-07-14T06:54:59.999Z,2026-07-14 14:54,3174,3262,89,0,manual-review/BLIND-013.svg,9deb6821fbbf241c8ec7dce97a3d5ac4961486ce79011ee373be180a317bfb41,,,,
BLIND-014,BTCUSDT,LOW,2026-07-16T08:34:59.999Z,2026-07-16 16:34,3783,3858,76,0,manual-review/BLIND-014.svg,13db3a833ee85f5b70a53fe29350e766cdd82e2984e278cda1685e33bdf9ea51,,,,
